time	RMSD_R1	RMSD_R2	RMSD_R3
0.0	0.0	0.0	0.0
0.1	2.39	1.11	1.76
0.2	2.11	1.31	1.33
0.3	2.3	1.58	1.8
0.4	2.0	1.81	2.3
0.5	1.94	1.24	2.45
0.6	2.18	2.21	1.73
0.7	2.74	1.55	2.06
0.8	2.51	1.69	1.95
0.9	2.4	1.53	1.51
1.0	3.02	1.74	1.82
1.1	2.3	1.65	2.12
1.2	2.59	1.81	2.15
1.3	2.74	1.61	1.91
1.4	2.75	2.04	2.22
1.5	2.93	2.46	2.0
1.6	3.24	2.67	1.7
1.7	2.73	2.17	2.25
1.8	3.99	2.28	2.65
1.9	3.82	2.02	2.11
2.0	3.86	2.73	2.16
2.1	4.51	1.96	2.16
2.2	3.23	1.99	2.29
2.3	3.73	1.99	1.96
2.4	4.41	2.01	1.74
2.5	4.52	2.16	1.78
2.6	5.95	2.18	2.01
2.7	5.83	2.24	2.18
2.8	6.32	2.35	1.6
2.9	5.61	1.8	2.44
3.0	5.72	1.93	1.87
3.1	4.44	2.0	1.83
3.2	4.83	2.11	1.72
3.3	5.59	2.43	2.09
3.4	5.84	2.62	1.58
3.5	5.41	2.3	1.49
3.6	5.35	3.01	1.63
3.7	5.0	2.79	1.77
3.8	5.28	3.05	1.98
3.9	4.33	2.56	2.44
4.0	4.91	2.36	2.45
4.1	4.61	2.03	2.2
4.2	3.76	2.57	1.8
4.3	3.06	2.39	2.26
4.4	3.26	2.37	2.47
4.5	3.47	2.89	2.46
4.6	3.87	2.96	2.81
4.7	4.77	3.17	2.14
4.8	4.47	3.4	1.94
4.9	5.46	3.45	1.86
5.0	4.46	4.35	2.53
5.1	4.95	4.29	2.27
5.2	5.37	4.4	2.29
5.3	5.28	4.15	2.17
5.4	4.61	4.16	2.26
5.5	3.38	4.7	2.66
5.6	2.87	4.13	2.56
5.7	3.3	3.88	2.24
5.8	3.84	4.22	2.33
5.9	3.18	4.65	2.57
6.0	3.9	4.94	2.33
6.1	4.29	4.62	2.03
6.2	4.88	4.75	1.89
6.3	4.07	4.64	2.69
6.4	4.6	4.62	2.44
6.5	4.88	4.87	2.43
6.6	5.74	4.9	2.65
6.7	4.56	3.57	2.62
6.8	5.15	4.49	2.59
6.9	5.62	4.03	2.31
7.0	5.51	4.43	2.38
7.1	5.47	3.97	2.2
7.2	5.31	4.13	2.72
7.3	5.15	3.98	1.73
7.4	6.28	4.29	2.45
7.5	5.0	4.25	3.01
7.6	4.82	3.94	2.76
7.7	4.46	4.33	2.5
7.8	5.32	3.87	2.94
7.9	5.45	4.08	3.49
8.0	4.04	4.15	2.73
8.1	4.01	4.71	3.12
8.2	4.96	5.1	3.4
8.3	4.6	5.0	3.24
8.4	4.89	4.49	3.11
8.5	4.47	3.87	3.36
8.6	5.16	3.98	4.09
8.7	5.51	4.11	4.44
8.8	5.3	4.23	3.83
8.9	5.29	4.47	5.04
9.0	3.8	4.41	3.81
9.1	3.56	4.23	3.96
9.2	3.85	4.04	4.61
9.3	4.23	4.49	5.85
9.4	4.96	4.4	6.37
9.5	5.2	4.63	6.29
9.6	6.05	4.13	5.29
9.7	6.77	4.62	4.94
9.8	7.48	3.96	4.04
9.9	7.58	4.07	5.38
10.0	7.59	4.53	5.04
10.1	6.36	4.32	5.75
10.2	7.24	5.52	4.88
10.3	6.04	4.83	6.25
10.4	6.18	4.98	5.91
10.5	6.91	5.23	5.31
10.6	6.58	4.3	6.26
10.7	6.33	4.78	6.85
10.8	5.4	5.18	6.33
10.9	5.9	4.78	5.76
11.0	4.72	4.11	5.75
11.1	5.29	3.93	6.25
11.2	5.24	4.05	6.33
11.3	5.22	3.88	6.08
11.4	5.94	3.88	6.56
11.5	6.49	4.37	6.27
11.6	7.28	4.1	6.84
11.7	8.29	4.69	7.58
11.8	7.32	3.62	8.15
11.9	7.91	4.57	7.3
12.0	7.8	4.5	7.65
12.1	8.41	4.4	6.8
12.2	8.65	4.11	7.06
12.3	10.05	4.3	8.47
12.4	9.57	4.76	8.32
12.5	8.81	4.77	8.23
12.6	7.45	4.87	7.63
12.7	7.37	5.72	8.01
12.8	6.58	5.6	7.18
