time	gyr_R1	gyr_R2	gyr_R3
0.1	23.84	23.54	24.05
0.2	23.94	23.76	23.83
0.3	24.28	23.66	23.93
0.4	23.88	23.48	24.24
0.5	24.06	23.46	23.46
0.6	24.17	23.83	23.87
0.7	24.69	23.84	23.9
0.8	24.45	23.85	23.68
0.9	24.27	23.91	23.63
1.0	24.27	23.31	23.86
1.1	24.3	23.4	23.49
1.2	24.44	23.33	23.54
1.3	24.55	23.82	23.33
1.4	24.34	23.56	23.47
1.5	23.95	23.67	23.64
1.6	24.44	23.72	23.61
1.7	24.12	23.76	23.92
1.8	24.7	23.92	23.6
1.9	24.72	23.73	23.49
2.0	25.08	24.06	23.16
2.1	25.33	23.89	23.37
2.2	24.84	23.8	23.22
2.3	24.97	23.63	23.49
2.4	25.5	23.66	23.65
2.5	25.49	23.96	23.53
2.6	26.05	23.64	23.74
2.7	25.96	23.73	23.7
2.8	26.18	23.56	23.49
2.9	25.54	23.17	23.87
3.0	25.27	23.46	23.61
3.1	24.95	23.29	23.89
3.2	25.24	23.13	23.99
3.3	25.29	22.9	24.1
3.4	25.68	23.7	23.76
3.5	25.25	23.89	23.78
3.6	25.39	23.92	23.85
3.7	25.08	23.58	23.42
3.8	25.37	24.43	23.72
3.9	25.02	24.15	23.07
4.0	25.15	23.55	23.59
4.1	25.13	23.78	23.58
4.2	24.76	23.88	23.14
4.3	24.54	23.7	23.33
4.4	24.51	23.72	23.23
4.5	24.66	23.91	23.37
4.6	24.91	23.48	23.23
4.7	25.17	23.51	23.56
4.8	25.16	23.92	23.36
4.9	25.6	23.98	23.73
5.0	25.01	24.21	23.5
5.1	25.41	24.14	23.85
5.2	25.72	23.9	23.6
5.3	25.57	24.08	23.47
5.4	25.31	24.05	23.49
5.5	24.8	24.07	23.61
5.6	24.37	24.3	23.53
5.7	24.39	23.94	23.58
5.8	24.71	24.9	23.2
5.9	24.52	24.56	23.02
6.0	24.62	24.46	23.13
6.1	24.6	24.15	23.4
6.2	24.51	24.58	24.01
6.3	24.39	24.05	23.72
6.4	24.84	24.05	23.85
6.5	24.83	24.59	23.48
6.6	25.32	24.18	23.08
6.7	24.76	23.91	23.43
6.8	24.99	23.74	23.85
6.9	24.85	23.56	23.67
7.0	24.92	23.8	23.77
7.1	24.65	23.9	23.46
7.2	24.64	23.83	23.98
7.3	24.76	23.82	23.72
7.4	25.35	24.17	23.96
7.5	24.6	24.18	24.17
7.6	24.67	24.23	23.74
7.7	24.61	24.04	23.78
7.8	24.93	23.8	24.33
7.9	24.89	24.05	24.74
8.0	24.34	24.1	24.43
8.1	24.57	24.29	24.63
8.2	25.05	24.43	24.87
8.3	24.68	24.56	24.66
8.4	24.83	24.14	24.44
8.5	24.48	24.04	24.61
8.6	24.93	23.89	25.03
8.7	24.99	24.35	25.29
8.8	24.85	24.16	25.15
8.9	25.17	23.87	25.88
9.0	24.72	23.93	25.07
9.1	24.63	24.02	25.11
9.2	24.58	23.8	25.32
9.3	24.99	24.24	26.17
9.4	24.99	23.94	26.34
9.5	24.96	24.21	26.01
9.6	25.49	23.74	25.92
9.7	25.49	23.87	25.63
9.8	26.03	23.58	25.04
9.9	26.25	24.3	25.76
10.0	25.74	24.31	25.64
10.1	25.66	24.16	26.03
10.2	26.09	24.59	25.97
10.3	25.59	24.41	26.42
10.4	25.62	24.32	26.35
10.5	25.91	24.31	26.2
10.6	26.02	23.73	26.75
10.7	25.67	24.05	27.01
10.8	25.21	23.78	26.36
10.9	25.02	24.05	25.94
11.0	24.6	24.39	25.94
11.1	25.34	24.2	26.56
11.2	25.19	24.03	26.17
11.3	25.23	24.09	26.1
11.4	26.14	24.04	26.32
11.5	26.51	23.99	26.22
11.6	26.96	24.13	26.28
11.7	27.34	24.27	26.89
11.8	26.81	23.73	26.79
11.9	27.14	23.85	26.17
12.0	27.11	23.96	26.81
12.1	27.32	24.16	26.52
12.2	27.18	24.24	26.27
12.3	27.9	24.14	26.77
12.4	27.21	24.29	26.83
12.5	27.01	24.41	26.27
12.6	26.54	24.3	26.43
12.7	26.57	24.51	26.71
12.8	26.32	24.75	26.22
12.9	25.72	24.59	26.35
13.0	25.4	24.9	26.5
13.1	25.21	24.69	26.69
13.2	25.34	24.43	26.17
13.3	25.2	24.26	26.1
13.4	25.25	24.13	26.32
13.5	25.4	24.0	26.17
13.6	25.91	24.14	25.94
13.7	25.64	24.04	27.14
13.8	25.46	24.27	26.98
13.9	25.56	24.26	26.62
14.0	25.56	24.28	26.6
14.1	25.86	23.92	26.56
14.2	26.38	24.16	26.97
14.3	26.23	24.3	26.55
14.4	26.32	24.22	26.43
14.5	26.3	24.01	26.43
14.6	26.6	23.9	25.96
14.7	26.8	24.13	26.01
14.8	26.65	24.19	26.71
14.9	26.08	24.17	27.04
15.0	26.53	24.07	27.17
15.1	26.43	24.07	26.69
15.2	26.73	24.12	27.2
15.3	26.29	24.42	27.66
15.4	26.77	24.07	27.16
15.5	27.33	24.31	26.7
15.6	27.24	24.24	26.95
15.7	26.72	24.26	26.76
15.8	25.9	24.47	26.43
15.9	25.86	24.26	26.98
16.0	26.29	24.62	26.66
16.1	26.25	24.65	26.24
16.2	26.16	24.38	26.62
16.3	25.64	24.83	26.42
16.4	25.35	24.34	26.62
16.5	25.24	24.4	26.02
16.6	25.59	24.4	26.52
16.7	25.1	24.29	26.47
16.8	25.43	24.68	26.41
16.9	25.77	24.18	26.59
17.0	25.62	24.17	26.29
17.1	26.04	23.91	25.96
17.2	25.68	24.23	26.12
17.3	25.53	24.05	26.38
17.4	25.98	24.25	26.42
17.5	25.92	24.24	26.62
17.6	26.07	24.22	26.79
17.7	26.18	24.51	26.16
17.8	26.16	24.21	26.15
17.9	26.18	24.67	26.34
18.0	26.47	24.68	26.32
18.1	26.37	24.39	26.0
18.2	26.3	24.26	26.24
18.3	26.59	24.07	26.04
18.4	26.4	23.83	26.41
18.5	26.43	24.44	26.27
18.6	26.21	24.26	26.49
18.7	26.65	23.92	26.39
18.8	26.26	24.26	26.51
18.9	26.3	24.17	26.59
19.0	26.81	24.37	27.15
19.1	26.47	24.27	26.99
19.2	26.69	24.04	26.71
19.3	26.54	24.14	26.81
19.4	25.91	24.13	27.24
19.5	25.85	24.38	26.53
19.6	26.24	24.42	26.95
19.7	26.15	24.12	26.07
19.8	25.38	24.25	25.96
19.9	25.73	23.81	26.02
20.0	25.65	24.37	25.99
20.1	25.24	24.47	25.7
20.2	25.57	24.4	25.71
20.3	25.62	24.04	25.53
20.4	25.33	24.14	24.83
20.5	25.33	24.09	24.54
20.6	25.37	24.51	24.76
20.7	25.74	24.24	24.79
20.8	26.32	23.85	25.3
20.9	26.73	23.71	25.22
21.0	26.37	23.96	25.17
